#TYPE System.Management.Automation.PSCustomObject
"Server Name from DNS","IP Address","Port","Subject","Issuer","Public Key","Serial Number","Valid From","Valid to","Self Signed","Signature Algorithm"
"glvesx01.gentrylocke.com","192.168.100.6","443","E=vmca@vmware.com, CN=glvesx01.gentrylocke.com, OU=VMware Engineering, O=VMware, L=Palo Alto, S=California, C=US","C=US, CN=""CA, CN=GEN1ROMVC01, dc=vsphere,dc=local""","2048","00E9501513E4F9F91A","3/7/2019 4:32:47 AM","3/6/2024 4:32:47 AM","no","sha256RSA"
"glvesx02.gentrylocke.com","192.168.100.7","443","E=vmca@vmware.com, CN=glvesx02.gentrylocke.com, OU=VMware Engineering, O=VMware, L=Palo Alto, S=California, C=US","C=US, CN=""CA, CN=GEN1ROMVC01, dc=vsphere,dc=local""","2048","00FD32DA5CDAFA6063","3/7/2019 3:56:54 AM","3/6/2024 3:56:54 AM","no","sha256RSA"
"glrmids.gentrylocke.com","192.168.100.8","443","E=vmca@vmware.com, CN=glvesx03.gentrylocke.com, OU=VMware Engineering, O=VMware, L=Palo Alto, S=California, C=US","C=US, CN=""CA, CN=GEN1ROMVC01, dc=vsphere,dc=local""","2048","00F8DDB0053D28BCB8","5/6/2019 10:21:18 AM","5/5/2024 10:21:18 AM","no","sha256RSA"
"glvesx01-ilo.gentrylocke.com","192.168.100.12","443","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett-Packard Company, CN=GLVESX01-ILO.gentrylocke.com","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett-Packard Company, CN=iLO Default Issuer (Do not trust)","1024","26FB4D24","1/16/2015 11:53:44 AM","1/15/2030 11:53:44 AM","no","sha1RSA"
"glvesx02-ilo.gentrylocke.com","192.168.100.13","443","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett-Packard Company, CN=GLVESX02-ILO.gentrylocke.com","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett-Packard Company, CN=iLO Default Issuer (Do not trust)","1024","18722E35","1/16/2015 12:22:41 PM","1/15/2030 12:22:41 PM","no","sha1RSA"
"glvesx03-ilo.gentrylocke.com","192.168.100.14","443","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett Packard Enterprise, CN=ILO2M2913027X","C=US, S=Texas, L=Houston, OU=ISS, O=Hewlett Packard Enterprise, CN=Default Issuer (Do not trust)","2048","3459158049D6A91F","3/29/2019 5:16:58 AM","3/28/2034 5:16:58 AM","no","sha256RSA"
"System.Object[]","192.168.100.26","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
,"192.168.100.27","443","E=support@avocent.com, CN=Avocent Corporation, OU=Avocent, O=avocent, L=Huntsville, S=Alabama, C=US","E=support@avocent.com, CN=Avocent Corporation, OU=Avocent, O=avocent, L=Huntsville, S=Alabama, C=US","1024","00C38E816D7FE85C6C","4/12/2013 1:03:05 PM","4/10/2023 1:03:05 PM","yes","sha1RSA"
"GLAPP02.gentrylocke.com","192.168.100.37","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
"GLAPP02.gentrylocke.com","192.168.100.38","443","CN=*.gentrylocke.com, OU=Domain Control Validated","CN=Go Daddy Secure Certificate Authority - G2, OU=http://certs.godaddy.com/repository/, O=""GoDaddy.com, Inc."", L=Scottsdale, S=Arizona, C=US","2048","620178DA7E65B4A8","5/18/2018 4:32:57 PM","5/23/2020 2:18:48 PM","no","sha256RSA"
